PMID,Title,Year,Journal,Abstract
42254647,Developing a digital ecological momentary assessment tool for 'real time' evaluation in implementation science: testing through evaluation of a novel digital social prescribing intervention.,2026,Frontiers in public health,"Social prescribing is increasingly adopted as a strategy to address psychosocial determinants of health, yet evaluating complex community-based interventions remains methodologically challenging. Digital ecological momentary assessment (EMA) offers potential for capturing real-time, multi-modal data in naturalistic settings. This study aimed to develop and assess the feasibility of a novel digital EMA approach integrating wearable-derived physiological data with repeated self-report wellbeing measures within a digital social prescribing (DSP) context. Despite increasing interest in EMA and wearable technologies, their integration within social prescribing evaluations remains underexplored. A mixed-methods feasibility study was conducted alongside a four-week online chair-based yoga programme delivered through a social prescribing service in East London, UK. Participants wore smartwatches to collect physiological indicators (stress, sleep, heart rate) and completed twice-daily wellbeing assessments using an adapted Short Warwick-Edinburgh Mental Wellbeing Scale. Quantitative data were analysed using exploratory linear mixed-effects models to examine data behaviour and integration within the intensive longitudinal dataset. Participant workshops explored feasibility and acceptability. Thirteen participants were recruited, with eleven included in quantitative analyses. The study indicated that integrating wearable and self-report EMA data within routine-style DSP delivery is feasible, although challenges were identified regarding device synchronisation, questionnaire adherence, and missing data. Exploratory modelling illustrated substantial within- and between-person variability in wellbeing trajectories and provided an indication of the feasibility of analysing intensive longitudinal EMA data, with no consistent associations between same-day yoga participation and physiological stress markers. Qualitative findings suggested that participants found the approach acceptable and highlighted factors influencing engagement, including flexibility, motivation, and perceived burden. Integrated wearable and self-report EMA methodologies can be deployed in DSP contexts, but their implementation is associated with important methodological and technical challenges. Findings highlight the need for validated EMA measures, improved data infrastructure, and careful management of participant burden. While not designed to assess intervention effectiveness, this study provides one of the first applied demonstrations of integrating wearable-derived physiological data with EMA self-report measures in a DSP context, offering a methodological foundation for real-time evaluation of complex community-based health interventions."
42254611,Clinico-epidemiological profile findings of the screened population under NPCDCS-Ayush (Integration of Homeopathy along with Yoga): a pilot project.,2026,Frontiers in public health,"Non-communicable diseases (NCDs) are a major global health challenge, accounting for nearly 74% of deaths worldwide, with the highest burden in low- and middle-income countries. In India, 66% of total deaths are attributed to NCDs, reflecting a rapid epidemiological transition and a dual burden of disease. To address this, the Ministry of Health and Family Welfare launched the National Programme for Prevention and Control of Cancer, Diabetes, Cardiovascular Diseases and Stroke (NPCDCS) in 2010, integrating Ayush systems (Homeopathy along with Yoga) to strengthen prevention and early management in 2015. To determine the presence and distribution of NCDs through opportunistic screening and to describe their clinico-epidemiological profile and correlates under the NPCDCS-Ayush Integration Project. A cross-sectional opportunistic screening was conducted from 2015 to 2021 across four districts of India under the NPCDCS-Ayush integration initiative implemented by the Central Council for Research in Homeopathy. Standardized NPCDCS screening tools were used to collect sociodemographic, clinical, and behavioral data. Descriptive and inferential analyses were performed to assess NCD prevalence and associated risk factors. A considerable proportion of the screened population (55.3%) was found to be affected by one or more NCDs, particularly hypertension and diabetes mellitus. The most common diagnoses were HTN (39.2%), high-normal/pre-HTN (20.9%), pre-diabetes (9.4%), and diabetes (5.4%). A higher burden of NCDs was observed among middle-aged and elderly individuals, with significant associations noted with physical inactivity, tobacco use, and unhealthy dietary habits. The integration of Ayush services enhanced community participation and facilitated early detection of NCDs, highlighting their potential to strengthen population-based screening and preventive strategies. The study highlights the growing burden of NCDs and demonstrates that Ayush-integrated opportunistic screening is a feasible approach for early detection within India's national NCD control framework. Integration of Ayush services may improve community reach and acceptability, facilitating timely identification of both disease and pre-disease states, and highlighting the need to strengthen community-based screening and targeted health promotion, to reduce long-term NCD burden."
42250338,Chronic stress at the crossroads: Decoding the HPA-SAM-immune-gut axis in inflammatory bowel disease pathogenesis and therapeutics.,2026,Seminars in immunology,"Stress, a prevalent factor in modern life, profoundly impacts human health by disrupting immune function and intestinal homeostasis. This review elucidates the mechanisms through which stress dysregulates the hypothalamic-pituitary-adrenal (HPA) and sympathetic-adrenal medulla (SAM) axes, leading to altered glucocorticoid and catecholamine levels that impair immune responses and promote inflammation. Chronic stress exacerbates gut microbiota dysbiosis, reduces microbial diversity, and compromises intestinal barrier integrity, contributing to conditions like inflammatory bowel disease (IBD). Stress-induced HPA axis dysfunction and neuroendocrine alterations further aggravate IBD pathogenesis by enhancing pro-inflammatory pathways (e.g., IL-6/STAT3) and disrupting mucosal immunity. Clinical evidence highlights bidirectional links between psychological stress and IBD progression, with stress exacerbating symptoms and IBD increasing susceptibility to anxiety and depression. Therapeutic strategies, including probiotics, anti-inflammatory agents, and psychological interventions (e.g., yoga), show promise in mitigating stress-related gut inflammation and improving patient outcomes. This synthesis underscores the necessity of integrating psychological care with conventional treatments to address the multifaceted interplay between stress, immunity, and gut health in IBD management."
42248433,It Changed My Body and My Mind: A Qualitative Study on Yoga Experiences in Women Over 65.,2026,Journal of aging and physical activity,"Women aged 65 and over often face physical and psychosocial challenges such as mobility issues, chronic pain, sleep disturbances, and emotional vulnerability. Yoga, as a traditional mind-body practice, has shown promising results in supporting physical, psychological, and social well-being in older adults. This study was conducted as a qualitative research using a phenomenological design to explore the experiences of women aged 65 and over regarding yoga practice. The study included 10 women participating in a yoga program at an Active Aging Center affiliated with a municipality. Data were collected through a semistructured interview form and analyzed using thematic analysis. The findings were grouped under eight main themes: perception of yoga, prejudices before yoga, physical effects, psychological effects, motivations for participation, factors influencing participation, expectations from the instructor, and perceptions related to age and gender. Participants reported that yoga positively affected flexibility, posture problems, pain, and sleep issues. Psychologically, they felt more balanced, peaceful, and calm. This study reveals the multidimensional effects of yoga in older adults and suggests that it can be considered a supportive intervention for healthy aging. The findings highlight the value of integrating yoga into health promotion strategies targeting older women. Yoga may serve not only as a physical activity but also as a tool for emotional regulation and social engagement. Health professionals and community centers can incorporate age-appropriate yoga practices to improve the quality of life and well-being among older populations."
42247852,Pharmacological and non-pharmacological treatments for chronic insomnia in perimenopausal and postmenopausal women: a systematic review and meta-analysis.,2026,Sleep medicine,"Chronic insomnia is highly prevalent during menopause, with or without vasomotor symptoms, and is associated with significantly impaired quality of life, impaired cognitive functioning, mood disturbances, and increased cardiovascular risk. This systematic review assessed the effectiveness of pharmacological and non-pharmacological treatments (acupuncture, yoga, massage) versus placebo or no treatment for chronic insomnia in peri- and postmenopausal women. The secondary aim was to establish the most effective treatment (pharmacological or non-pharmacological) for menopausal-associated chronic insomnia. We performed data extraction from PubMed/Medline, EMBASE and CINAHL to include only randomized controlled trials in adult peri-menopausal or menopausal women with chronic insomnia, comparing a pharmacological treatment or a non-pharmacological intervention with placebo, passive control, or active control. The primary outcome was sleep quality, assessed by Pittsburgh sleep quality index (PSQI), insomnia severity index (ISI), or total sleep time (TST). Out of 80 identified studies, 24 were included in the qualitative synthesis and 17 in the meta-analysis. Methodological quality was generally good to excellent (mean PEDro score 8.66/10). The meta-analysis showed a significant effect of non-pharmacological treatment on PSQI and ISI, while pharmacological treatments were only effective on PSQI. Neither objective nor subjective TST was modified by the treatments. Despite several limitations, nonpharmacological interventions, particularly cognitive behavioral therapy for insomnia and techniques reducing sympathetic hyperarousal (acupuncture, yoga, massage), seem to be the most robust first-line options for peri- and postmenopausal women suffering from chronic insomnia, whereas pharmacological treatments still require longer and better designed studies to establish their long-term efficacy and safety."
42246696,"Effects of yoga on pain, sleep quality, and aerobic endurance in young women with primary dysmenorrhea: A randomized controlled trial.",2026,Health care for women international,"Primary dysmenorrhea (PD) is a prevalent condition in young women, characterized by menstrual pain, sleep disturbances, and reduced physical activity. Yoga has been suggested as a non-pharmacological intervention. We examined the effects of a 12-week yoga program on menstrual pain, sleep quality, and cardiorespiratory endurance in 36 women aged 18-25 years with PD. Participants were allocated to yoga (n = 18) or control (n = 18) groups. Menstrual pain decreased in both groups (yoga: <i>p</i> < .001; control: <i>p</i> = .041), with no significant between-group difference (<i>p</i> > .05). Sleep parameters showed no intergroup differences in efficiency, latency, or duration, yet the yoga group exhibited reduced wake after sleep onset (<i>p</i> = .032), indicating improved sleep continuity (control: <i>p</i> = .813). Cardiorespiratory endurance (Incremental and Endurance Shuttle Walk Tests) showed no significant changes (<i>p</i> > .05). A 12-week yoga intervention may reduce menstrual pain and improve sleep continuity within groups; however, no significant improvements in aerobic endurance were observed. Longer or more intensive programs may be needed for physiological adaptations."
42246645,Effects of different types of physical exercise on postoperative mental health in cancer patients.,2026,"Psychology, health & medicine","To explore how diverse physical exercises influence the mental well-being of cancer patients following surgery. A total of 144 cancer patients who underwent surgery were selected from a tertiary hospital and randomly assigned to either a control group (conventional care, <i>n</i> = 36) or an intervention group (conventional care plus physical exercise, <i>n</i> = 108). The intervention group was further stratified into three subgroups: yoga (<i>n</i> = 36), walking (<i>n</i> = 36), and aerobic exercise (<i>n</i> = 36). Participants were assessed at baseline, one month, and three months post-intervention using the Hospital Anxiety and Depression Scale (HADS), WHO Quality of Life BREF (WHOQOL-BREF), Pittsburgh Sleep Quality Index (PSQI), and Social Support Rating Scale (SSRS). Initially, no significant differences were observed among the groups in mental state, quality of life, sleep quality, or social support (<i>p</i> > 0.05). After one and three months of intervention, all exercise groups (yoga, walking, aerobic) showed statistically significant improvements compared to the control group in psychological well-being (F = 15.581, <i>p</i> < 0.001), quality of life (F = 7.813, <i>p</i> < 0.001), sleep quality (F = 13.374, <i>p</i> < 0.001), and social support (F = 8.524, <i>p</i> < 0.001). These improvements were more pronounced at the three-month mark (<i>p</i> < 0.05).Among the intervention groups, yoga demonstrated the most significant improvement in psychological state (3-month HADS score: 6.81 ± 1.87), sleep quality (3-month PSQI score: 4.27 ± 0.84), and social support (3-month SSRS score: 28.85 ± 4.10), with differences being statistically significant compared to walking and aerobic exercise groups (<i>p</i> < 0.05). Aerobic exercise showed the greatest advantage in improving quality of life (3-month WHOQOL-BREF score: 76.41 ± 8.01), surpassing yoga and walking groups (<i>p</i> < 0.05). Various forms of physical exercise significantly benefit postoperative psychological adjustment in cancer patients. Yoga helps reduce anxiety and depression, improve sleep, and strengthen social support, while walking and aerobic activities enhance quality of life and overall health. Therefore, tailored exercise should be integrated into postoperative rehabilitation to promote holistic recovery."
42244402,The Contribution of Yoga to Enhancing Resilience and Coping With Stress Among Nurses in Israel During a War Conflict.,2026,Workplace health & safety,"Nurses working under armed conflict face heightened psychological stress that may undermine well-being and resilience. Mind-body practices such as yoga have been identified as promising strategies for enhancing emotional regulation and adaptive coping; however, evidence on their contribution to nurses' resilience during wartime or emergency conditions remains limited. A descriptive, cross-sectional study was conducted among 105 hospital nurses in Israel during an active armed conflict. Participants completed validated questionnaires assessing personal resilience (CD-RISC-10), stress response (SRQ), and yoga characteristics, including type (workplace vs. personal), duration, and perceived emotional benefits. Data were analyzed using descriptive statistics, Spearman correlations, group comparisons, and hierarchical regressions. Nurses who engaged in sustained, self-initiated personal yoga practice reported higher personal resilience and lower stress response than non-practitioners. Perceived emotional benefits of yoga, longer duration of practice, and independent engagement were the strongest predictors of resilience, while lower stress response was associated with older age, longer yoga experience, and higher perceived benefits. Participation in brief workplace-only sessions was not independently related to either outcome. Yoga may strengthen nurses' resilience and reduce stress reactivity even under wartime conditions, particularly when practiced consistently and autonomously. Short-term institutional classes alone appear insufficient without sustained personal engagement and emotional relevance. Occupational health nurses can promote resilience by developing hybrid yoga-based programs that combine structured on-site sessions with supported self-practice. Emphasizing autonomy, continuity, and reflection on emotional benefits may enhance coping, reduce stress, and foster durable well-being among nurses in conflict-affected environments."
42240608,Development and effectiveness of a mindfulness-based cognitive therapy for individuals with spinal cord injury: Changes in quality of life and inflammatory biomarkers.,2026,The journal of spinal cord medicine,"spinal cord injury (SCI) reduces quality of life and causes chronic inflammation. Mindfulness-based interventions may improve these symptoms. However, few studies have examined the benefits of mindfulness-based interventions in individuals with SCI. This study evaluated a tailored Mindfulness-Based Cognitive Therapy (MBCT) program. We conducted a non-randomized controlled trial at a national rehabilitation hospital in the Republic of Korea, involving 51 adult inpatients with SCI who were assigned to either the MBCT (n = 26) or treatment-as-usual (TAU) (n = 25) group. The 4-week MBCT program included 12 sessions emphasizing breathing - and auditory-based practices while excluding yoga and walking meditations. Additional components addressed illness acceptance and pain coping. Primary outcomes were quality of life and spiritual well-being. Secondary outcomes included inflammatory biomarkers. Assessments were conducted at baseline (T0), post-intervention (T1), and four weeks later (T2). Linear mixed-effects models were estimated. No significant group-by-time interaction was observed with the FACT-G or FACIT-Sp-12 overall. However, the FACIT-Sp-12 showed a significant group effect. Among participants with normal-to-mild baseline depression, significant group-by-time and group-by-baseline depression interactions were observed. Biomarker analyses revealed increased IL-10, decreased sTNFR2, and lower CRP levels in the MBCT group. Tailored MBCT may enhance spiritual well-being and inflammatory profiles in patients with SCI, particularly in those with lower baseline depression. However, further randomized trials are warranted for greater robustness.<b>Trial Registration:</b> Not applicable (non-randomized pilot study)."
42238355,Mind-Body Interventions as Modulators of Neural Connectivity and Cognition in Individuals at Risk for Alzheimer's Disease: A Systematic Review.,2026,Annals of neurosciences,"Alzheimer's disease (AD) is the leading cause of dementia worldwide, contributing to nearly 60%-70% of dementia cases. Current pharmacological treatments provide limited symptomatic relief and minimal efficacy in altering disease progression, highlighting the need for complementary interventions. Mind-body practices such as yoga and meditation are increasingly explored for preserving cognitive abilities and reducing neurodegenerative risk. This systematic review evaluated randomized controlled trials investigating yoga, meditation, and related mind-body interventions on cognitive and neural health in individuals with normal cognition, mild cognitive impairment, or subjective memory decline. Following PRISMA guidelines, studies published up to March 2025 were reviewed. Findings showed improvements in memory, attention, executive functions, mood, and quality of life. Neurobiological benefits included preservation of hippocampal volume, improved functional connectivity, increased brain-derived neurotrophic factor levels, and reduced neuroinflammation markers. However, methodological limitations such as small sample sizes and short intervention durations were common. Mind-body interventions show promising cognitive and neurobiological benefits in populations at risk of AD. Yoga and meditation may serve as feasible, cost-effective complementary approaches alongside conventional therapy. Larger long-term clinical trials are needed to establish standardized protocols and sustained therapeutic effectiveness."
42236500,Comparative effectiveness of interventions incorporating physical activity in individuals with comorbid low back pain and depressive symptoms: a systematic review with network meta-analysis.,2026,Scientific reports,"This systematic review with network meta-analysis aimed to identify the most effective intervention incorporating a substantial physical activity component in individuals with comorbid depressive symptoms and nonspecific chronic low back pain (LBP). A search of six databases (PubMed/Medline, PsycINFO, Web of Science Core Collection, EMBASE, CINAHL, CENTRAL) was conducted up to July 30, 2025. Randomised controlled trials on participants > 15 years with comorbid clinically relevant depressive symptoms (e.g., Beck Depression Inventory (BDI)-II > 13) and chronic (> 12 weeks) LBP were included. Interventions involved ≥ 33% active movement and lasted ≥ 2 weeks. Outcome-wise risk of bias (RoB) for the self-reported outcomes was assessed using the Cochrane RoB 2 tool. Primary outcomes were (i) changes in depressive symptoms (mandatory) and (ii) pain intensity, disability and quality of life, with each study required to include at least one of three additional outcomes. We calculated frequentist-based network meta-analysis. Of 2138 studies, five studies (N = 834, 50.1% female, mean age: 52.8 years) with eight treatments were included. Overall RoB ranged from low to some concerns. Yoga with education was most effective at mid-term follow-up (intervention duration closest to 12 weeks, k = 9), showing improvements in pain (SMD=-1.05 [95%CI=-1.38 to -0.72]) and clinically relevant improvements in depressive symptoms (SMD=-1.48 [95%CI=-1.81 to -1.14]), all vs. usual care. Antidepressant therapy with pain self-management (e.g., physical activity, relaxation, breathing) moderately affected depressive symptoms (SMD=-0.56 [95%CI=-0.60 to -0.53]) and pain (SMD=-0.53 [95%CI=-0.56 to -0.49]). At long-term follow-up, antidepressant therapy with pain self-management, and online- and mobile-based therapy showed superiority over usual care. The overall certainty of evidence across outcomes was low to very low. With very low certainty evidence, yoga combined with education yielded the most favourable effects across outcomes. However, these findings should be interpreted with caution and require adequately powered future trials. While other approaches showed small to moderate effects, their clinical relevance remains uncertain.PROSPERO 2024 ID: CRD42024523604."
42235862,Complementary and Alternative Medicine Use and All-Cause Mortality Among US Adults: A National Prospective Cohort Study.,2026,American journal of preventive medicine,"Although complementary and alternative medicine (CAM) practices are widely used across the US population, population-level associations with mortality remain understudied. This study examined exploratory associations between CAM use patterns and all-cause mortality among US adults. Data from the National Health Interview Survey (2007/2012, N=55,023) were linked to mortality through 2019 (5,530 deaths; 472,636.5 person-years). This analysis examined 21 specific CAM modalities, CAM usage intensity, recency of use, and theoretically and empirically derived domains using Cox proportional hazards models with hierarchical covariate adjustment, Benjamini-Hochberg false discovery rate correction, and exploratory subgroup analyses. 43.2% of adults engaged in 1+ CAM practice. After full adjustment and FDR correction, yoga (HR=0.73, 95% CI: 0.62-0.87) and Pilates (HR=0.64, 95% CI: 0.49-0.85) were associated with lower mortality. Each additional CAM practice was associated with 6% lower mortality (HR=0.94, 95% CI: 0.92-0.96). Recent users had lower mortality than past-only users (HR=0.79 vs. 0.90), and multiple practice users showed the strongest association (HR=0.76, 95% CI: 0.68-0.86). Exploratory subgroup analyses revealed suggestive but largely non-robust patterns. Most individual CAM modalities showed null associations with mortality, but yoga and Pilates demonstrated inverse associations that persisted after adjustment and FDR correction, and broader measures of CAM engagement consistently indicated lower mortality risk. Whether these associations reflect CAM-specific benefits or general physical activity and health-conscious selection warrants further investigation."
42235054,Effects of a Home-Based Exercise Program Incorporating Mindfulness and Yoga on Balance and Mobility in People With Parkinson Disease: Protocol for a Randomized Controlled Trial.,2026,JMIR research protocols,"Approximately 80% of individuals with Parkinson disease (PD) experience impaired balance and mobility, contributing to freezing of gait, an increased risk of falls, and reduced health-related quality of life. Mind-body interventions, such as mindfulness and yoga, may address both motor and nonmotor symptoms by enhancing mind-body coordination and reducing stress, thereby offering a scalable approach to balance rehabilitation in PD. This study aims to evaluate the effects and acceptability of Mindfulness Yoga-Practice Awareness through Cognitive-Based Exercise (MY-PACE), a mobile health-delivered, home-based intervention, on balance, mobility, and psychological well-being in individuals with PD and balance impairment. This assessor-blinded, 2-arm, randomized waitlist-controlled trial enrolled 132 individuals with PD and balance impairment, randomized to either the MY-PACE group (n=66, 50%) or the control group receiving routine outpatient care (n=66, 50%). The MY-PACE group will complete a 12-week, Zoom-delivered program incorporating mindfulness, yoga, and mindful walking practices. The control group will receive the intervention after study completion. The primary outcome is functional balance, as measured by the Berg Balance Scale. Secondary outcomes include functional mobility, gait patterns, balance confidence, freezing of gait severity, motor symptoms, anxiety and depressive symptoms, cognitive function, mindfulness, health-related quality of life, and fall incidence. Assessments will occur at baseline, 3 months (T1), and 6 months (T2). Data will be analyzed using linear mixed-effects models under the intention-to-treat principle. Ethics approval was obtained on September 18, 2019. A preliminary feasibility study with 10 participants was conducted between May and June 2020. The full randomized controlled trial was funded in January 2022 by the Early Career Scheme 2021-2022 of the Research Grants Council, Hong Kong. The trial was prospectively registered on December 10, 2021. Recruitment began in April 2022. As of manuscript submission, 132 participants have been enrolled. Data analysis has not yet commenced. The study protocol and statistical analysis plan follow the original prespecified design. The results are expected to be published in 2026. This trial will evaluate a telehealth-delivered mindful yoga intervention for improving balance and mobility in individuals with PD. By integrating cognitive-based mindful awareness and motor training, MY-PACE targets both motor and nonmotor contributors to balance impairment. If effective, it may represent a scalable intervention for individuals with PD and other populations with mobility limitations. Chinese Clinical Trial Registry ChiCTR2100054145; https://tinyurl.com/4j8f8zvn. DERR1-10.2196/97781."
42234392,Lactobacillus Vaginal Tablets in Preventing Recurrence of Bacterial Vaginosis: A Systematic Review and Meta-Analysis.,2026,Probiotics and antimicrobial proteins,"Bacterial vaginosis (BV) is a common polymicrobial infectious condition that occurs exclusively in females. Several studies have suggested that probiotics, specifically Lactobacillus vaginal tablets, may be both feasible and beneficial in managing BV. This meta-analysis aims to systematically evaluate the role of Lactobacillus vaginal tablets in preventing the recurrence of BV. A systematic literature search was conducted in PubMed/MEDLINE, EMBASE, and the Cochrane Library. The search was limited to studies published in English up to August 2024. Studies were included if they involved women diagnosed with BV and evaluated the effectiveness of Lactobacillus vaginal tablets in preventing the recurrence of BV. Two independent reviewers were involved in the selection process. Recurrence of BV and adverse events associated with the interventions were the primary and secondary outcomes analyzed. Meta-analysis was performed in Review Manager 5.4.1 software using random-effects model using the DerSimonian and Laird method to systematically evaluate the role of Lactobacillus vaginal tablets in preventing the recurrence of BV. The quality of the included studies was assessed using the Cochrane Risk of Bias tool and the evidence was GRADED. Eight randomized controlled trials involving a total of 562 women with BV were included in this review. The evidence suggests that Lactobacillus vaginal tablets have no effect on recurrence of BV (RR 0.86, 95% CI 0.54 to 1.35; uncertainty evidence). Overall, the evidence for the effectiveness of Lactobacillus vaginal tablets to prevent the BV recurrence is uncertain. Further research is needed to clarify the which Lactobacillus is effective.PROSPERO: CRD42024531832."
42232938,A practitioner-informed framework for yoga-based emotional regulation among rural adolescents.,2026,Frontiers in public health,"Adolescent aggression is a significant public mental health concern associated with long-term behavioral, educational, and social outcomes. In rural and resource-constrained settings, limited access to specialized psychosocial services highlights the need for feasible, community-based preventive approaches. Yoga has been associated with improvements in emotional regulation and self-control; however, structured practitioner-informed guidance for delivering yoga in adolescent group settings, particularly in contexts involving aggression risk, remains limited. This study aimed to (i) explore the experiential perspectives of yoga trainers involved in adolescent instruction and (ii) translate these perspectives into a practitioner-informed framework and practice-oriented guidance for delivering yoga sessions that support emotional regulation and aggression management among rural youth. A qualitative descriptive, survey-based design was employed. An open-ended, semi-structured online questionnaire was administered to 36 purposively selected yoga trainers (YT) in India with experience teaching adolescents; 31 complete responses were analyzed. Data were analyzed using hybrid deductive-inductive reflexive thematic analysis to identify themes related to yoga delivery, adolescent engagement, and emotional regulation. Nine major thematic domains emerged, addressing developmental characteristics of adolescence, rural contextual constraints, pedagogical adaptations, appropriate <i>āsana</i> and <i>prāṇāyāma</i> practices, and trainer responsibilities. Trainers described aggression regulation as embedded within routine yoga practice through progressive sequencing of postures, breath regulation, meditation, and relaxation techniques. These insights informed the development of a practitioner-informed framework, along with nine practice recommendations and four operational requirements for safe and context-sensitive yoga delivery in adolescent group settings. The framework highlights the potential role of structured yoga programs as preventive mental health strategies that can be integrated into school and community-based adolescent health initiatives in low-resource environments. This study proposes a practitioner-informed framework for delivering group-based yoga sessions that support emotional regulation and aggression management among rural adolescents. The findings translate trainer experiences into practice-oriented guidance for implementing structured yoga programs in school and community settings."
42232545,Integrative oncology along with systemic cancer therapies in advanced bladder and prostate cancer: metabolic optimization guiding the shift from palliative care to clinical remission - a case report.,2026,Frontiers in oncology,"Bladder cancer, particularly in older adults, poses significant therapeutic challenges due to its high recurrence rates, metastatic potential, and the toxicity associated with standard treatments. This case report describes a 75-year-old male with advanced muscle-invasive urothelial carcinoma of the bladder, exhibiting metastases to the prostate and lymph nodes. Following intolerance to conventional palliative chemotherapy, the patient underwent a structured integrative oncology protocol (systemic cancer therapies combined with adjuvant complementary therapies) that combined metabolic therapies, oncothermia, high-dose intravenous vitamin C, targeted nutraceutical supplementation, acupuncture, laser therapy, diet therapy, and yoga-based interventions. After initial metabolic optimization, an oral chemotherapy regimen comprising Afatinib, Axitinib, Relugolix, and Abiraterone was initiated. The patient demonstrated excellent tolerance to treatment, significant symptomatic relief, normalization of cancer-related biomarkers, and marked metabolic response with stable residual metabolic activity on PET-CT within six months. Quality of life measures improved substantially, and prognostic indices, including the Chuang Survival Score, reflected enhanced survival potential. This report underscores the potential of systemic cancer therapies along with integrative oncology to improve clinical outcomes, mitigate treatment-related toxicity, and enhance quality of life in advanced bladder cancer. While the findings are encouraging, they warrant validation through larger, controlled studies to better define the role of integrative approaches within the contemporary oncology framework."
42229075,Physical therapy for urinary incontinence in older women: A systematic review.,2026,Archives of gerontology and geriatrics,"Urinary incontinence is highly prevalent among older women, affecting more than one-third of this population and significantly impairing quality of life, independence, and healthcare utilization. Older women often present with complex needs that may require broader rehabilitation strategies. This systematic review evaluated randomized controlled trials of physical therapy interventions for urinary incontinence in older women. PubMed, Embase, and Scopus were searched to October 2025. Eligible studies included women ≥60 years and assessed interventions such as Pelvic floor muscle training (PFMT), bladder training, Yoga, Pilates, general resistance training, electrical stimulation, or multimodal programs. Methodological quality was appraised using the PEDro scale, and random-effects meta-analysis was performed where appropriate. Twenty studies involving 2002 women across 13 countries were included. Eleven trials were rated as good quality and nine as fair. Meta-analysis demonstrated that PFMT significantly reduced urinary incontinence severity compared with usual care (SMD = -1.27, 95% CI: -2.18 to -0.36, p = 0.006). Multimodal programs combining PFMT with mobility, strength, or fall-prevention training also showed significant benefits (SMD = -0.98, 95% CI: -1.60 to -0.36, p = 0.002). Comparative studies indicated that PFMT was similarly effective to Yoga and Pilates, while adjuncts such as general resistance training or tibial nerve stimulation provided additional improvements. Physical therapy interventions, particularly PFMT and multimodal programs, are effective in reducing urinary incontinence severity and improving functional outcomes among older women. These findings support prioritizing physical therapy as an important management strategy, with multimodal approaches offering added value for enhancing functional independence and fall prevention."
42228994,Comparative Effects of Yoga Practices on Self-Esteem and Blood Pressure in Substance Use Disorders: An Randomized Control Trial.,2026,Substance use & misuse,"Substance Use Disorders (SUD) are characterized by a debilitating cycle of physiological stress, such as hypertension, and psychological deficits, specifically low self-esteem. While yoga is a recognized biopsychosocial intervention, research rarely isolates the comparative efficacy of its specific modalities Asana (postures) and Pranayama (breathwork) in recovery settings. To compare the effects of Asana, Pranayama, and an integrated (Asana + Pranayama) practice on self-esteem and blood pressure among individuals with SUD. A randomized controlled trial was conducted with 60 male participants (ages 25-50) at a rehabilitation center in Shimla, India. Participants were randomly assigned to four groups (<i>n</i> = 15 each): Asana, Pranayama, Asana + Pranayama (AP), and a Control Group (CG). Interventions lasted 12 wk (3 sessions/week, 30 mins each). Primary outcomes included the Rosenberg Self-Esteem Scale (RSES) and systolic/diastolic blood pressure (SBP/DBP), analyzed using One-Way ANCOVA. All intervention groups showed significant improvements compared to the control group (<i>p</i> < 0.05). The integrated AP group demonstrated the highest efficacy, achieving the greatest increase in self-esteem (Adjusted Mean: 23.07 vs. CG: 18.03) and the most significant reductions in SBP (AP: 124.08 vs. CG: 131.84 mmHg) and DBP (AP: 83.68 vs. CG: 90.55 mmHg). Integrated yoga practice (combining physical postures and breathwork) is more effective than either modality alone in improving psychological resilience and cardiovascular health during SUD recovery. These findings support the inclusion of multi-modal yoga protocols in multidisciplinary addiction treatment."
42228416,Pilot Study on the Usefulness of Tele-Yoga in Patients With Heart Failure.,2026,"Computers, informatics, nursing : CIN","This study aimed to evaluate the feasibility and benefits of tele-yoga in promoting mindfulness. A cross-sectional pilot study was conducted on patients (n=24) with heart failure at a tertiary referral hospital. The tele-yoga intervention was implemented in 6 group sessions over 8 weeks. Feasibility was assessed using indicators of adherence, retention, and user experience, whereas mindfulness was measured using the Mindful Attention Awareness Scale with a Cronbach's alpha of 0.92. The statistical software RStudio was used for analysis. The results showed that most participants were women, with an average age of 47.4 years, middle-aged, and recently diagnosed. The attendance rate was 100%, and participants were highly satisfied with the experience. The average mindfulness score was 60, with a median of 59 and a SD of 17.81. This intervention proved to be feasible and acceptable, promoting concentration, emotional self-awareness, and stress management, thereby improving quality of life and disease management."
42227754,Understanding the Influence of Experiential Psychotherapy Among Men Who Have Offended: A Systematic Review.,2026,International journal of offender therapy and comparative criminology,"High rates of recidivism persist among incarcerated men, particularly those with extensive trauma histories, while many rehabilitation programs remain primarily cognitively focused. This systematic review synthesizes evidence on experiential psychotherapies, including mindfulness-based interventions, Acceptance and Commitment Therapy (ACT), yoga, meditation, and creative arts therapies delivered in forensic settings to adult males. Twenty-four studies met inclusion criteria. Thematic synthesis identified three outcome domains: (1) psychological and emotional well-being, including reductions in stress, anxiety, depression, and trauma symptoms; (2) behavioral and cognitive regulation, including improved impulse control and prosocial identity shifts; and (3) recidivism and desistance, with several studies-particularly those examining Transcendental Meditation and structured mindfulness programs-reporting reduced reoffending. Evidence for Compassion Focused Therapy and most creative arts therapies was limited or absent. Overall, findings suggest experiential psychotherapies may support emotional regulation, identity change, and desistance, though heterogeneity in study design and outcomes limits generalizability and highlights the need for more rigorous longitudinal research."
